,ride_id,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
94969,1648FB7BA160B1BA,Fulton St & Clermont Ave,Madison St & Evergreen Ave,40.684180498,-73.969266415,40.69122,-73.91693,1
129485,D738D2F5BEEDF63D,Vesey St & Church St,Peck Slip & South St,40.712420702,-74.010433316,40.7075188830923,-74.00108054280281,1
123387,B3E33663BAEC2E8D,W 29 St & 9 Ave,8 Ave & W 31 St,40.7500727,-73.99839279,40.7505853470215,-73.9946848154068,1
106398,176AA92905B6A36F,Prospect Park SW & 10 Ave,Jay St & Tech Pl,40.659945,-73.977504,40.695065,-73.987167,1
130005,E6AE46387AD73232,Broadway & E 14 St,E 7 St & Avenue A,40.73454567,-73.99074142,40.72621788,-73.98379855,1
39299,7F6A17DAD77BA703,E 2 St & 2 Ave,Suffolk St & Stanton St,40.72502876,-73.99069656,40.72066442,-73.98517977,1
34974,8979BC73ECEEB1CB,E 2 St & Avenue B,Suffolk St & Stanton St,40.72217444,-73.98368779,40.72066442,-73.98517977,1
129954,092B01F973800CBA,E 20 St & Park Ave,E 7 St & Avenue A,40.73827428,-73.98751968,40.72621788,-73.98379855,1
119909,DB5A239FF0691C03,Greenwich Ave & 8 Ave,W 17 St & 8 Ave,40.7390169121,-74.0026376103,40.74177603,-74.00149746,1
123564,67E2DAC686A511C4,South St & Pike St,E 7 St & Avenue A,40.70991806921533,-73.99161100387573,40.72621788,-73.98379855,1
173933,2A9CDDABE534397D,Frederick Douglass Blvd & W 145 St,W 165 St & Fort Washington Ave,40.823061,-73.941928,40.84004,-73.942939,1
100386,E01EC80F5646077C,E Fordham Rd & Webster Ave,Margaret Corbin Plz & Ft Washington Ave,40.861729741,-73.89104259,40.859166,-73.933872,1
154318,75D5C2EC43628ABF,Kingsland Ave & Nassau Ave,Bedford Ave & Nassau Ave,40.72577,-73.94173,40.72311651,-73.95212324,1
16830,1D41D15A8BD4F52A,9 Ave & W 22 St,Broadway & E 21 St,40.7454973,-74.00197139,40.73988840858996,-73.98958593606949,1
160834,5433F70D64A1C303,Fulton St & Irving Pl,Nassau St & Navy St,40.681803942,-73.959192157,40.69839895,-73.98068914,1
88406,7199AD7E15F94F18,Lexington Ave & Classon Ave,Lewis Ave & Madison St,40.68676793,-73.95928168,40.686312,-73.935775,1
63752,DF7F5209DCC4EA4D,Avenue C & E 18 St,Forsyth St\t& Grand St,40.730563,-73.973984,40.71779817737835,-73.99316132068634,1
39817,A549D732B718EF0C,West Thames St,Murray St & Greenwich St,40.70834698,-74.01713445,40.71485150526252,-74.01122331619263,1
129580,6077D1761986A83C,Lenox Ave & W 111 St,Adam Clayton Powell Blvd & W 123 St,40.7987859,-73.9523,40.8078316,-73.949373,1
59436,24824C2A3A7A9E84,Greenwich Ave & 8 Ave,Gansevoort St & Hudson St,40.7390169121,-74.0026376103,40.73944820130404,-74.00507032871246,1
86317,DEB55A33C79BDAA3,W 33 St & 10 Ave,8 Ave & W 38 St,40.75377336836039,-73.99937599897385,40.75461,-73.99177,1
24178,203521E814B2981E,Broadway & W 58 St,11 Ave & W 59 St,40.76695317,-73.98169333,40.77149671054441,-73.99046033620834,1
197036,B59623523DB2A012,Meserole Ave & Manhattan Ave,Roebling St & N 4 St,40.72708584,-73.95299117,40.71469,-73.95739,1
157794,FCCC14A13EE59E2E,W 15 St & 7 Ave,E 13 St & 2 Ave,40.73935542,-73.99931783,40.73153937464073,-73.9853024482727,1
86734,F6900FCE8105FEB5,Broadway & E 14 St,E 15 St & 3 Ave,40.73454567,-73.99074142,40.734232,-73.986923,1
2523,9E0FEBD60C41E231,Ave A & E 11 St,1 Ave & E 16 St,40.72854745023944,-73.98175925016403,40.73221853,-73.98165557,1
134822,3F063CDEE49E817D,W 22 St & 10 Ave,8 Ave & W 31 St,40.74691959,-74.00451887,40.7505853470215,-73.9946848154068,1
9641,D2BAFAB895F85B70,Steinway St & 28 Ave,49 St & 25 Ave,40.76582098,-73.913529873,40.764496,-73.904632,1
2163,4918B9ABA37257CE,Allen St & Stanton St,Bialystoker Pl & Delancey St,40.722055,-73.989111,40.71622644,-73.98261206,1
19044,6C8A2D372E23F9F8,W 13 St & 5 Ave,Central Park S & 6 Ave,40.735445,-73.99431,40.765909,-73.976342,1
181323,A852D098D4435192,Van Brunt St & Wolcott St,Forsyth St & Broome St,40.677518964,-74.012620687,40.71893904,-73.99266288,1
18674,2D5138F1AC7AF1BE,Broadway & E 19 St,Bialystoker Pl & Delancey St,40.73866091428551,-73.98987293243407,40.71622644,-73.98261206,1
87901,EB9356E519639AFA,Prospect Park W & 20 St,E 5 St & Cooper Sq,40.656734228,-73.983767629,40.72769,-73.990993,1
2552,988D33B07CE5BE5A,Grand Concourse & E 203 St,Tiebout Ave & E Fordham Road,40.87382,-73.88661,40.861915,-73.894831,1
40027,1CF1B1A2BD47ABD7,Nassau Ave & Russell St,Berry St & N 8 St,40.725645065,-73.944254994,40.7190095,-73.95852515,1
100070,5FE6688200682631,8 Ave & W 33 St,W 37 St & 10 Ave,40.751551,-73.993934,40.75660359,-73.9979009,1
186064,9EEE6F467307DC71,10 St & 5 Ave,Adelphi St & Myrtle Ave,40.6686273,-73.98700053,40.69308257,-73.97178913,1
28361,615C717316BE5882,Madison Ave & E 26 St,W 26 St & 10 Ave,40.742684734875695,-73.98671329021454,40.749717753,-74.002950346,1
53172,87B36368C942154B,Douglass St & 3 Ave,Grand Army Plaza & Plaza St West,40.680293322,-73.984378219,40.6729679,-73.97087984,1
193196,742D1BAFD73EC140,E 30 St & Park Ave S,E 7 St & Ave B,40.74444921,-73.98303529,40.7251285241158,-73.98131668567657,1
17271,6F044891F4607E7E,9 Ave & W 22 St,8 Ave & W 16 St,40.7454973,-74.00197139,40.740983,-74.001702,1
7468,9D2F455691704434,Cedar St & Myrtle Ave,McKibbin St & Bogart St,40.697842,-73.926241,40.706237,-73.933871,1
77793,8A7131B32AA2B5E0,Union St & Bedford Ave,Lewis Ave & Madison St,40.6691783,-73.9554162,40.686312,-73.935775,1
102168,C21048CBF0A92743,W 13 St & 5 Ave,Sullivan St & Washington Sq,40.735445,-73.99431,40.73047747,-73.99906065,1
197808,508CE5B80157052B,St Marks Pl & 2 Ave,Old Slip & South St,40.7284186,-73.98713956,40.70336686695866,-74.007867872715,1
165627,E3608FCCE7411B98,West End Ave & W 94 St,West End Ave & W 60 St,40.7941654,-73.974124,40.77237,-73.99005,1
135417,7372E459E1BF9D22,Stanhope St & Fairview Ave,White St & Moore St,40.70998,-73.91116,40.704508,-73.9351,1
86670,104B35735182B3E8,W 35 St & 8 Ave,8 Ave & W 38 St,40.752762088742045,-73.99280458705107,40.75461,-73.99177,1
155349,E3D36FD7D5FA7C86,Avenue C & E 18 St,E 13 St & 2 Ave,40.730478406,-73.974037528,40.73153937464073,-73.9853024482727,1
45528,BDC71C06F05AB172,E 6 St & Avenue B,Suffolk St & Stanton St,40.72453734,-73.98185424,40.72066442,-73.98517977,1
34308,4D93B785E39D229D,35 St & 30 Ave,Motorgate,40.76547569244953,-73.91811579465866,40.7639089,-73.9477213,1
46900,932B9313C359E4F9,Broadway & W 29 St,W 20 St & 10 Ave,40.7462009,-73.98855723,40.745686,-74.005141,1
11081,84F4403D8DE7FBA0,Hudson St & W 13 St,11 Ave & W 59 St,40.740306377,-74.005380154,40.77149671054441,-73.99046033620834,1
129419,F2D94571D5FE1025,Broadway & E 14 St,E 7 St & Avenue A,40.73454567,-73.99074142,40.72621788,-73.98379855,1
105020,341DD30BACBCC3D2,W 44 St & 11 Ave,12 Ave & W 125 St,40.762009,-73.996975,40.818299,-73.960405,1
129572,DB57059BA675B68B,South St & Whitehall St,Peck Slip & South St,40.70122128,-74.01234218,40.7075188830923,-74.00108054280281,1
72968,D2CB7790D2A27705,Lewis Ave & Decatur St,Lewis Ave & Madison St,40.6814598,-73.934903,40.686312,-73.935775,1
65869,BBBC0F9721DC3711,2 Ave & E 29 St,FDR Drive & E 35 St,40.74172351097472,-73.97809267044067,40.744219,-73.97121214,1
